id_ville,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
32091,79,nanteuil,NANTEUIL,nanteuil,Nanteuil,N340,NNTL,79400,189,79189,2,26,6,1670,1474,1700,80,20.62,-0.166667,46.4167,-2789,51569,-01024,462442,55,182
32092,79,coulonges-sur-l-autize,COULONGES-SUR-L'AUTIZE,"coulonges sur l autize",Coulonges-sur-l'Autize,C4526432,KLNJSSRLTS,79160,101,79101,2,11,5,2373,2148,2400,125,18.87,-0.6,46.4833,-3262,51648,-03557,462860,27,121
32099,79,saint-varent,SAINT-VARENT,"saint varent",Saint-Varent,S531653,SNTFRNT,79330,299,79299,1,27,5,2496,2458,2500,72,34.42,-0.233333,46.8833,-2855,52099,-01358,465322,69,132
32100,79,thenezay,THENEZAY,thenezay,Thénezay,T520,0NS,79390,326,79326,3,30,5,1476,1424,1500,30,48.49,-0.033333,46.7167,-2626,51910,-00137,464309,107,175
32107,79,moncoutant,MONCOUTANT,moncoutant,Moncoutant,M2353,MNKTNT,79320,179,79179,3,18,5,3170,2985,3100,120,26.32,-0.583333,46.7167,-3250,51916,-03520,464326,153,226
32110,79,sainte-radegonde-79,SAINTE-RADEGONDE,"sainte radegonde",Sainte-Radegonde,S5363253,SNTRTKNT,79100,292,79292,1,32,6,1955,2026,2000,259,7.52,-0.247222,46.9845,-2871,52205,-01450,465904,43,111
32111,79,secondigny,SECONDIGNY,secondigny,Secondigny,S5325,SKNTKN,79130,311,79311,3,29,5,1798,1773,1700,48,37.34,-0.416667,46.6167,-3062,51789,-02509,463636,157,249
32113,79,saint-pardoux-79,SAINT-PARDOUX,"saint pardoux",Saint-Pardoux,S531632,SNTPRTKS,79310,285,79285,3,15,6,1578,1290,1500,46,34.24,-0.3,46.5667,-2936,51746,-01821,463417,150,232
32118,79,brioux-sur-boutonne,BRIOUX-SUR-BOUTONNE,"brioux sur boutonne",Brioux-sur-Boutonne,B626135,BRKSSRBTN,79170,057,79057,2,05,5,1514,1451,1500,97,15.49,-0.216667,46.1333,-2844,51269,-01323,460832,51,94
32121,79,bressuire,BRESSUIRE,bressuire,Bressuire,B626,BRSR,79300,049,79049,1,04,4,18615,17797,18600,103,180.59,-0.483333,46.85,-3139,52045,-02919,465024,98,236
